study_hours,past_performance,exam_score
6.5,37.6,40.0
9.9,69.3,69.1
2.3,67.2,56.2
5.7,78.4,62.6
8.9,92.2,81.5
7.7,83.5,66.2
7.3,66.8,62.3
7.3,56.7,53.0
4.2,100.0,83.0
3.6,70.7,60.2
8.3,70.2,67.7
8.3,69.7,82.1
8.8,72.4,79.1
9.2,68.3,71.6
5.6,63.1,45.0
5.5,63.4,68.8
8.2,69.6,63.5
6.8,63.5,53.8
7.3,61.4,67.6
8.2,71.3,83.5
9.0,66.9,78.6
4.0,88.0,69.8
4.4,38.2,41.2
1.8,83.1,60.6
6.2,85.0,76.5
1.3,45.1,33.1
5.2,65.9,58.2
5.9,65.5,59.6
3.6,53.1,40.6
6.3,60.7,57.1
1.3,56.7,30.0
1.3,91.0,58.8
8.4,81.2,73.2
4.2,85.3,60.5
2.1,78.7,55.6
5.7,56.5,60.8
7.9,63.7,70.6
2.9,75.9,48.0
6.6,55.3,51.4
1.8,78.6,58.0
1.5,67.1,40.5
5.8,65.5,58.4
5.9,78.5,70.4
6.7,75.3,63.9
7.5,65.7,66.3
9.8,83.9,77.9
5.6,57.0,51.0
3.9,77.4,61.7
8.2,77.1,66.9
3.4,66.3,54.0
5.0,73.9,61.6
1.7,55.0,41.7
1.2,81.1,54.1
9.7,67.8,81.3
8.5,63.7,68.7
7.3,82.6,72.8
4.7,61.5,53.9
2.6,53.1,43.5
2.4,51.3,39.5
3.3,77.3,57.9
5.9,54.6,50.1
7.4,91.1,77.3
6.9,45.0,44.3
3.5,90.4,75.3
9.6,72.5,70.9
7.6,68.8,64.6
6.0,63.5,55.4
6.5,74.8,72.1
4.8,69.5,57.0
3.2,83.2,67.5
4.2,71.4,54.2
7.8,71.8,71.8
1.1,65.6,39.2
2.0,69.3,59.5
1.4,73.7,43.2
1.4,49.5,36.0
8.7,53.8,65.9
7.3,78.9,75.1
5.3,72.1,60.7
1.9,67.8,46.6
5.4,70.2,61.3
5.3,74.2,62.2
2.6,63.5,51.9
4.9,60.7,64.6
4.6,72.4,56.7
6.5,58.3,51.0
6.7,74.9,68.0
1.4,49.6,47.6
4.4,82.3,60.7
6.6,75.7,76.8
5.5,73.1,71.6
8.7,81.8,76.8
6.9,90.0,81.1
2.5,82.2,66.1
1.6,47.9,32.6
6.8,54.6,55.5
1.2,62.5,38.9
6.3,70.3,59.1
9.5,76.2,75.6
6.2,61.3,52.3
4.5,72.2,59.2
6.8,60.9,56.5
5.1,62.7,56.7
5.9,53.1,44.8
9.5,58.9,70.2
4.5,53.8,52.1
9.7,58.3,58.8
9.1,82.6,83.5
2.8,58.6,51.0
1.6,100.0,59.6
1.9,75.9,60.6
1.2,72.2,49.5
1.8,59.7,38.8
7.1,78.4,71.8
1.6,63.1,46.4
3.9,71.5,56.8
8.6,100.0,92.8
1.2,68.8,40.9
8.3,83.8,80.3
3.5,61.6,42.2
2.1,69.6,48.4
7.3,91.2,75.7
6.7,62.5,57.1
8.9,91.7,92.4
7.6,78.5,79.2
8.2,63.3,69.8
3.5,77.6,53.5
2.6,81.7,56.5
7.8,77.5,79.7
8.3,51.2,60.3
9.9,61.3,83.1
4.7,67.0,58.7
4.3,69.1,57.6
8.0,77.4,72.9
4.1,72.1,58.2
9.4,54.0,64.4
8.7,74.6,78.8
4.9,77.3,68.2
7.8,76.7,69.3
7.8,83.0,70.4
1.9,80.0,45.6
9.1,75.5,79.8
5.5,69.2,55.4
8.4,50.1,48.8
3.9,75.2,60.6
9.1,72.5,87.7
4.5,73.3,59.7
1.1,54.7,40.8
9.1,57.0,66.6
1.8,82.6,55.5
3.9,69.5,59.9
9.6,78.2,78.9
9.6,70.3,77.0
6.2,70.4,65.4
6.7,81.3,68.8
5.0,63.8,60.9
3.6,71.2,54.6
4.0,64.5,48.7
7.1,64.8,66.2
7.8,66.3,62.5
8.1,72.7,72.2
8.1,64.3,66.9
1.8,85.1,62.8
5.4,59.3,57.0
1.5,67.8,45.8
5.9,64.7,63.7
5.0,87.4,76.8
9.0,72.4,77.7
4.2,82.4,64.0
2.1,52.2,31.9
2.3,73.2,46.6
7.9,80.7,74.4
6.6,71.0,62.5
1.9,82.8,55.4
1.8,63.8,44.7
7.3,86.9,80.4
1.7,97.6,64.0
8.4,65.6,71.2
7.4,64.7,64.9
1.7,87.4,48.6
1.8,89.0,54.8
9.9,63.7,72.1
4.4,65.0,48.2
4.3,66.6,58.1
8.3,53.9,69.1
9.5,59.0,74.8
9.9,58.0,68.3
7.8,60.8,71.2
4.4,69.6,57.8
1.8,72.8,48.1
8.0,88.6,78.1
6.0,58.0,54.4
4.8,81.8,64.0
9.2,67.4,73.4
2.0,69.4,49.4
5.4,78.1,65.9
1.1,56.5,40.0
5.2,74.6,69.0
1.5,72.0,53.2
2.1,75.9,45.4
2.1,73.5,38.5
6.8,99.5,88.3
7.7,62.3,57.6
6.3,63.6,58.9
9.7,62.5,65.5
4.4,63.3,44.3
3.6,62.4,52.6
8.8,84.3,85.2
3.0,87.0,59.9
9.7,63.2,58.8
1.1,60.0,37.2
9.7,75.7,81.4
1.4,63.4,35.5
9.0,77.6,79.0
5.7,72.4,63.5
9.9,51.8,68.8
1.7,88.6,59.6
6.0,91.6,71.0
9.7,62.6,77.6
5.7,65.3,58.4
6.7,73.4,67.2
7.3,74.0,65.2
5.1,77.9,62.3
6.6,94.1,75.3
6.3,67.9,61.8
9.1,60.4,76.7
1.4,53.4,30.1
3.5,61.2,41.0
9.6,69.6,82.6
9.0,91.5,85.4
5.1,63.8,52.8
6.6,72.7,71.8
3.5,69.8,51.1
2.7,84.3,69.1
5.2,100.0,81.5
4.2,63.6,50.4
6.3,64.1,71.1
1.7,82.5,52.4
9.8,78.2,84.8
9.9,92.2,91.4
